scenario_id,timestamp,rain_gage_id,rainfall_mm
short_intense_rain,2017-06-29 00:00:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:01:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:02:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:03:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:04:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:05:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:06:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:07:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:08:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:09:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:10:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:11:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:12:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:13:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:14:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:15:00,rg5425,0.38914
short_intense_rain,2017-06-29 00:16:00,rg5425,0.56164
short_intense_rain,2017-06-29 00:17:00,rg5425,0.73413
short_intense_rain,2017-06-29 00:18:00,rg5425,0.90662
short_intense_rain,2017-06-29 00:19:00,rg5425,1.07912
short_intense_rain,2017-06-29 00:20:00,rg5425,1.25161
short_intense_rain,2017-06-29 00:21:00,rg5425,1.4241
short_intense_rain,2017-06-29 00:22:00,rg5425,1.5966
short_intense_rain,2017-06-29 00:23:00,rg5425,1.76909
short_intense_rain,2017-06-29 00:24:00,rg5425,1.80359
short_intense_rain,2017-06-29 00:25:00,rg5425,1.63109
short_intense_rain,2017-06-29 00:26:00,rg5425,1.4586
short_intense_rain,2017-06-29 00:27:00,rg5425,1.28611
short_intense_rain,2017-06-29 00:28:00,rg5425,1.11362
short_intense_rain,2017-06-29 00:29:00,rg5425,0.94112
short_intense_rain,2017-06-29 00:30:00,rg5425,0.76863
short_intense_rain,2017-06-29 00:31:00,rg5425,0.59614
short_intense_rain,2017-06-29 00:32:00,rg5425,0.42364
short_intense_rain,2017-06-29 00:33:00,rg5425,0.25115
short_intense_rain,2017-06-29 00:34:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:35:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:36:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:37:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:38:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:39:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:40:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:41:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:42:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:43:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:44:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:45:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:46:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:47:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:48:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:49:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:50:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:51:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:52:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:53:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:54:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:55:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:56:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:57:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:58:00,rg5425,0.24425
short_intense_rain,2017-06-29 00:59:00,rg5425,0.24426
short_intense_rain,2017-06-29 00:00:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:01:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:02:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:03:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:04:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:05:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:06:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:07:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:08:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:09:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:10:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:11:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:12:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:13:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:14:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:15:00,rg5427,0.38914
short_intense_rain,2017-06-29 00:16:00,rg5427,0.56164
short_intense_rain,2017-06-29 00:17:00,rg5427,0.73413
short_intense_rain,2017-06-29 00:18:00,rg5427,0.90662
short_intense_rain,2017-06-29 00:19:00,rg5427,1.07912
short_intense_rain,2017-06-29 00:20:00,rg5427,1.25161
short_intense_rain,2017-06-29 00:21:00,rg5427,1.4241
short_intense_rain,2017-06-29 00:22:00,rg5427,1.5966
short_intense_rain,2017-06-29 00:23:00,rg5427,1.76909
short_intense_rain,2017-06-29 00:24:00,rg5427,1.80359
short_intense_rain,2017-06-29 00:25:00,rg5427,1.63109
short_intense_rain,2017-06-29 00:26:00,rg5427,1.4586
short_intense_rain,2017-06-29 00:27:00,rg5427,1.28611
short_intense_rain,2017-06-29 00:28:00,rg5427,1.11362
short_intense_rain,2017-06-29 00:29:00,rg5427,0.94112
short_intense_rain,2017-06-29 00:30:00,rg5427,0.76863
short_intense_rain,2017-06-29 00:31:00,rg5427,0.59614
short_intense_rain,2017-06-29 00:32:00,rg5427,0.42364
short_intense_rain,2017-06-29 00:33:00,rg5427,0.25115
short_intense_rain,2017-06-29 00:34:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:35:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:36:00,rg5427,0.24425
short_intense_rain,2017-06-29 00:37:00,rg5427,0.24425
